objectid,uuid,accessioned,accessionnum,locationid,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,dimensions,inscription,markings,attributioninverted,attribution,provenancetext,creditline,classification,subclassification,visualbrowserclassification,parentid,isvirtual,departmentabbr,portfolio,series,volume,watermarks,lastdetectedmodification,wikidataid,customprinturl,image_uuid,image_iiifurl,image_iiifthumburl,image_viewtype,image_sequence,image_width,image_height,image_maxpixels,image_openaccess,image_created,image_modified,image_depictstmsobjectid,image_assistivetext
167086,80af1470-0e06-4afb-8d1a-7a081516fe2b,1,2014.79.635,,Plate Number 692. Elk trotting,1887,1887,1887,1876 to 1900,collotype,"image: 23.5 × 31.5 cm (9 1/4 × 12 3/8 in.)
sheet: 47.63 × 60.33 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 692 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.616",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d08fdf02-5723-47a2-a7ff-38c33ac0ce18,https://api.nga.gov/iiif/d08fdf02-5723-47a2-a7ff-38c33ac0ce18,"https://api.nga.gov/iiif/d08fdf02-5723-47a2-a7ff-38c33ac0ce18/full/!200,200/0/default.jpg",primary,0,3505,2611,,1,2015-10-07 11:07:14-04,2026-01-22 09:56:32-05,167086,
166586,1ed46f02-7c34-42f3-b0cc-b473d116e26e,1,2014.79.135,,Plate Number 84. Ascending an incline with a bucket of water in right hand,1887,1887,1887,1876 to 1900,collotype,"image: 17.3 × 41.5 cm (6 13/16 × 16 5/16 in.)
sheet: 47.85 × 60.4 cm (18 13/16 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 84 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.84",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d0dcf427-cc0c-40c2-9882-bc0fb25f6179,https://api.nga.gov/iiif/d0dcf427-cc0c-40c2-9882-bc0fb25f6179,"https://api.nga.gov/iiif/d0dcf427-cc0c-40c2-9882-bc0fb25f6179/full/!200,200/0/default.jpg",primary,0,4372,1797,,1,2015-09-22 16:15:47-04,2026-01-22 10:09:24-05,166586,
166802,5c0898a4-03fa-444c-9e00-e8850eed2280,1,2014.79.351,,Plate Number 326. Lifting a 50-lb. dumbbell at arm's length,1887,1887,1887,1876 to 1900,collotype,"image: 15 × 46.4 cm (5 7/8 × 18 1/4 in.)
sheet: 48.4 × 61.2 cm (19 1/16 × 24 1/8 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 326 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.311",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d0f7a1bc-939b-4498-97e4-2257aefc401b,https://api.nga.gov/iiif/d0f7a1bc-939b-4498-97e4-2257aefc401b,"https://api.nga.gov/iiif/d0f7a1bc-939b-4498-97e4-2257aefc401b/full/!200,200/0/default.jpg",primary,0,4880,1543,,1,2015-09-28 16:26:11-04,2026-01-22 10:12:51-05,166802,
167088,038bdf32-9ca3-4e68-8ae7-e951383cc063,1,2014.79.637,,"Plate Number 694. Elk galloping, irregular",1887,1887,1887,1876 to 1900,collotype,"image: 20.8 × 35.9 cm (8 3/16 × 14 1/8 in.)
sheet: 47.63 × 60.33 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 694 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.618",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d1057725-ae42-4834-b28d-699edcb97034,https://api.nga.gov/iiif/d1057725-ae42-4834-b28d-699edcb97034,"https://api.nga.gov/iiif/d1057725-ae42-4834-b28d-699edcb97034/full/!200,200/0/default.jpg",primary,0,3979,2296,,1,2015-10-07 11:11:25-04,2026-01-22 10:00:01-05,167088,
166512,44a352c1-b298-457d-b0f6-2fd115c67e03,1,2014.79.61,,Plate Number 8. Walking,1887,1887,1887,1876 to 1900,collotype,"image: 19.8 × 38.65 cm (7 13/16 × 15 3/16 in.)
sheet: 48.1 × 61.1 cm (18 15/16 × 24 1/16 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 8 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.8",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2025-12-22 22:01:37.637-05,,,d115a9f2-4a23-49ff-beed-0edb9c262955,https://api.nga.gov/iiif/d115a9f2-4a23-49ff-beed-0edb9c262955,"https://api.nga.gov/iiif/d115a9f2-4a23-49ff-beed-0edb9c262955/full/!200,200/0/default.jpg",primary,0,4114,2087,,1,2015-09-10 14:25:50-04,2026-01-22 09:49:33-05,166512,
166927,77b16df0-fd4b-4ace-bdfd-3ce79e3a3a24,1,2014.79.476,,Plate Number 486. A: Lawn tennis. B: Ascending a step. C: Descending a step. D: Ascending a ladder,1887,1887,1887,1876 to 1900,collotype,"image: 22 × 34.6 cm (8 11/16 × 13 5/8 in.)
sheet: 48.26 × 60.96 cm (19 × 24 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 486 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.446",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2025-12-22 22:01:37.637-05,,,d125b12d-4363-454f-a444-17dbe5f166b5,https://api.nga.gov/iiif/d125b12d-4363-454f-a444-17dbe5f166b5,"https://api.nga.gov/iiif/d125b12d-4363-454f-a444-17dbe5f166b5/full/!200,200/0/default.jpg",primary,0,3634,2319,,1,2015-09-28 15:43:50-04,2026-01-22 10:10:44-05,166927,
166658,ebf24c67-a843-4866-be2b-1aec16a68d0a,1,2014.79.207,,"Plate Number 160. Jumping, running broad jump",1887,1887,1887,1876 to 1900,collotype,"image: 18.8 × 40.6 cm (7 3/8 × 16 in.)
sheet: 47.8 × 60.4 cm (18 13/16 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 160 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.160",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d1425f0a-44d7-4f1e-a68c-1df6cb57031d,https://api.nga.gov/iiif/d1425f0a-44d7-4f1e-a68c-1df6cb57031d,"https://api.nga.gov/iiif/d1425f0a-44d7-4f1e-a68c-1df6cb57031d/full/!200,200/0/default.jpg",primary,0,4406,2020,,1,2015-09-08 14:00:53-04,2026-01-22 09:53:41-05,166658,
166861,05ca5098-cdb1-4353-9d9b-43903a6aa4ad,1,2014.79.410,,"Plate Number 391. Farmer, mowing grass",1887,1887,1887,1876 to 1900,collotype,"image: 14.8 × 45.8 cm (5 13/16 × 18 1/16 in.)
sheet: 48.2 × 61.1 cm (19 × 24 1/16 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE 391 / Copyright 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.375",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d18eb33c-d7db-44a6-9667-eca12178b728,https://api.nga.gov/iiif/d18eb33c-d7db-44a6-9667-eca12178b728,"https://api.nga.gov/iiif/d18eb33c-d7db-44a6-9667-eca12178b728/full/!200,200/0/default.jpg",primary,0,4822,1551,,1,2015-09-28 15:58:21-04,2026-01-22 10:12:25-05,166861,
166794,b7c0ac3e-44bb-4d6b-b9f8-286ef86c5154,1,2014.79.343,,Plate Number 318. Lifting a 75-lb. rock,1887,1887,1887,1876 to 1900,collotype,"image: 14.9 × 45.5 cm (5 7/8 × 17 15/16 in.)
sheet: 47.9 × 60.4 cm (18 7/8 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 318 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.303",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d1cdeb05-934c-4190-9578-baf34e6afb57,https://api.nga.gov/iiif/d1cdeb05-934c-4190-9578-baf34e6afb57,"https://api.nga.gov/iiif/d1cdeb05-934c-4190-9578-baf34e6afb57/full/!200,200/0/default.jpg",primary,0,4779,1579,,1,2015-09-23 11:18:09-04,2026-01-22 10:04:27-05,166794,
166820,b568ccae-5e36-444a-9eea-263610ada5cc,1,2014.79.369,,"Plate Number 345. Wrestling, lock",1887,1887,1887,1876 to 1900,collotype,"image: 17.4 × 44.3 cm (6 7/8 × 17 7/16 in.)
sheet: 47.7 × 60.3 cm (18 3/4 × 23 3/4 in.)","printed, lower center underneath image in black ink: ANIMAL LOCOMOTION. PLATE. 345 / Copyright, 1887, by EADWEARD MUYBRIDGE. All rights reserved.; on verso, by Corcoran Gallery of Art, lower left in red pencil: 87.7.330",,"Muybridge, Eadweard",Eadweard Muybridge,"Eadweard Muybridge, Philadelphia, PA; purchased by the Corcoran Gallery of Art, Washington, DC, 1887; acquired by NGA, 2014.","Corcoran Collection (Museum Purchase, 1887)",Photograph,Print,photograph,,0,CPH,,Animal Locomotion: An Electro-Photographic Investigation of Consecutive Phases of Animal Movements,,,2024-03-18 22:01:50.33-04,,,d1e8760d-2379-4891-9717-0029d6907f48,https://api.nga.gov/iiif/d1e8760d-2379-4891-9717-0029d6907f48,"https://api.nga.gov/iiif/d1e8760d-2379-4891-9717-0029d6907f48/full/!200,200/0/default.jpg",primary,0,4674,1826,,1,2015-09-28 16:14:35-04,2026-01-22 09:55:45-05,166820,
