Label,Image URI,Plate Number,Provider
Plate Number 178. Stepping on and over a trestle,https://api.nga.gov/iiif/16a21388-8a61-48e1-b5ca-18f39b271a6a/info.json,178,National Gallery of Art
"Plate Number 179. Stepping on and over a rock, a basket on head and right hand raised",https://api.nga.gov/iiif/9e6f3b65-c300-472e-9d01-d4476fe6fce2/info.json,179,National Gallery of Art
Plate Number 180. Stepping on and over a chair,https://api.nga.gov/iiif/f0abd1c5-19e5-43aa-8069-b5b56645d948/info.json,180,National Gallery of Art
Plate Number 181. Stepping over a fence,https://api.nga.gov/iiif/fdb7e097-194f-4d13-86b8-0c8a6f0f99cb/info.json,181,National Gallery of Art
Plate Number 182. Crawling on hands and knees,https://api.nga.gov/iiif/6423a2e7-f8d9-4dcf-9ce5-856194043569/info.json,182,National Gallery of Art
Plate Number 183. Walking on hands and feet,https://api.nga.gov/iiif/ff60af61-ed61-4902-abf3-5324f564cf05/info.json,183,National Gallery of Art
Plate Number 184. Walking on hands and feet,https://api.nga.gov/iiif/91cefe40-6087-4637-8383-b1b371ab3c83/info.json,184,National Gallery of Art
Plate Number 185. Hopping on left foot,https://api.nga.gov/iiif/337aaa4c-aae1-4c71-88af-1321ee2958e3/info.json,185,National Gallery of Art
Plate Number 186. Hopping on right foot,https://api.nga.gov/iiif/ac0fc8be-ebde-45ab-82d4-595535a5664f/info.json,186,National Gallery of Art
Plate Number 187. Dancing (fancy),https://api.nga.gov/iiif/749a7dd7-8121-4b5a-8ba2-bdf6816b8c4c/info.json,187,National Gallery of Art
Plate Number 188. Dancing (fancy),https://api.nga.gov/iiif/941afdb8-a9d7-4b47-8a8c-41f0023df1c7/info.json,188,National Gallery of Art
Plate Number 189. Dancing (fancy),https://api.nga.gov/iiif/a146ecc9-e7c5-4264-8199-94ad82572e22/info.json,189,National Gallery of Art
Plate Number 190. Dancing (nautch),https://api.nga.gov/iiif/4536a9e0-a8ea-4d95-8ab9-b8504769a872/info.json,190,National Gallery of Art
Plate Number 191. Dancing (fancy),https://api.nga.gov/iiif/d55d596f-2d60-4ab7-b159-8a234663cacf/info.json,191,National Gallery of Art
Plate Number 192. Dancing (fancy),https://api.nga.gov/iiif/fdd28d50-331c-4ac0-9158-d84308f4a13c/info.json,192,National Gallery of Art
Plate Number 193. Dancing (fancy),https://api.nga.gov/iiif/1775ed05-2bd8-44da-b5b9-fe9833c0dce1/info.json,193,National Gallery of Art
Plate Number 194. Dancing,https://api.nga.gov/iiif/cf251611-9512-499f-90f5-d51e5ba4bd92/info.json,194,National Gallery of Art
Plate Number 195. Dancing a waltz,https://api.nga.gov/iiif/6ad10c58-ca4e-45c4-8501-b2c47ff2b3ec/info.json,195,National Gallery of Art
Plate Number 196.Two women dancing a waltz,https://api.nga.gov/iiif/2bf0ce8a-c66e-4c39-b984-b251ec484540/info.json,196,National Gallery of Art
Plate Number 197. Man and woman dancing a waltz,https://api.nga.gov/iiif/6c874237-4168-4031-9e3e-17d2f3e09d68/info.json,197,National Gallery of Art
Plate Number 198. Curtesying,https://api.nga.gov/iiif/cee92257-8200-4ab6-9c81-50de707f68e5/info.json,198,National Gallery of Art
"Plate Number 199. Curtesying, a fan in right hand",https://api.nga.gov/iiif/1f7360b1-1c64-4f5e-a1f9-dc5f5f2d6cfb/info.json,199,National Gallery of Art
"Plate Number 200. Curtseying, kissing hand and turning around",https://api.nga.gov/iiif/2e293126-d03f-425f-88ee-793290bff6b2/info.json,200,National Gallery of Art
Plate Number 201. Taking a 12-lb. basket from head and putting it on the ground,https://api.nga.gov/iiif/697bafc6-08ad-49e3-b33d-da95df07572a/info.json,201,National Gallery of Art
Plate Number 202. Dropping and lifting a handkerchief,https://api.nga.gov/iiif/5ce149e6-5bb0-4b42-82e6-8174d7657211/info.json,202,National Gallery of Art
Plate Number 203. Bending over a trestle with a water jar,https://api.nga.gov/iiif/42090d56-d391-46e3-96c3-449bb7af23a9/info.json,203,National Gallery of Art
Plate Number 204. Stooping to pick up a ball,https://api.nga.gov/iiif/7d0653a5-7ff0-422f-9376-d9f45c9ff379/info.json,204,National Gallery of Art
Plate Number 205. Carrying and stooping with a vase,https://api.nga.gov/iiif/6a95696f-f787-453e-8c79-80770e4de6f0/info.json,205,National Gallery of Art
"Plate Number 206. Carrying a water jar on head, turning and placing it on the ground",https://api.nga.gov/iiif/d3fe8b9a-b2cc-41b6-a9e5-3d103e198c0f/info.json,206,National Gallery of Art
Plate Number 207. Stooping and lifting train,https://api.nga.gov/iiif/e7e62e53-6722-41ba-ae13-78edf03c02c4/info.json,207,National Gallery of Art
Plate Number 208. Dropping a fan and stooping to lift it,https://api.nga.gov/iiif/170f1713-26b9-4818-91c5-2f3cfe3c6f09/info.json,208,National Gallery of Art
Plate Number 209. Stooping and lifting a handkerchief,https://api.nga.gov/iiif/28713a37-ba6c-44ef-9553-0b2fe96519f9/info.json,209,National Gallery of Art
"Plate Number 210. Stooping and lifting a dress, a fan in left hand",https://api.nga.gov/iiif/f91bf09d-b0dc-4d31-b5ed-b36cc2028c1d/info.json,210,National Gallery of Art
"Plate Number 211. Stooping and lifting a handkerchief, a parasol in left hand",https://api.nga.gov/iiif/3a5f118c-d0f4-4987-984a-9339aa58f86a/info.json,211,National Gallery of Art
Plate Number 212. Dropping a broom and lifting a bucket of water,https://api.nga.gov/iiif/adcecd00-5e2c-4eb8-a3eb-66640703e2e1/info.json,212,National Gallery of Art
Plate Number 213. Lifting and emptying basket,https://api.nga.gov/iiif/6da4e8f5-02bb-431f-9052-c88e334e11cd/info.json,213,National Gallery of Art
Plate Number 214. Lifting a child from the ground and turning around,https://api.nga.gov/iiif/c130697a-0488-46b7-9022-99f536616c28/info.json,214,National Gallery of Art
Plate Number 215. Placing a child on the ground; the child running off,https://api.nga.gov/iiif/eede856d-f365-487a-9df8-e8eeb88569c6/info.json,215,National Gallery of Art
"Plate Number 216. Bending to fill a water jar, placing it on head",https://api.nga.gov/iiif/5b884532-bbbc-4881-84c8-e1934bb4a31c/info.json,216,National Gallery of Art
"Plate Number 217. Stooping, lifting and carrying a 30-lb. basket",https://api.nga.gov/iiif/f7e45ebf-b681-4ff2-b223-9ede8610fc2e/info.json,217,National Gallery of Art
Plate Number 218. Stooping and lifting a full demijohn to shoulder,https://api.nga.gov/iiif/a6c4d6ea-070b-4402-9711-f027257648da/info.json,218,National Gallery of Art
"Plate Number 219. Stooping, and lifting broom and sweeping",https://api.nga.gov/iiif/c3b8ecfd-2e30-428a-a371-2a20ad322ae9/info.json,219,National Gallery of Art
"Plate Number 220. Stooping, and lifting handkerchief and turning",https://api.nga.gov/iiif/0bc6a627-451d-49e5-8ba1-c58d93c84405/info.json,220,National Gallery of Art
Plate Number 221. Stooping and lifting a 12-lb. basket to head,https://api.nga.gov/iiif/80a06655-0ff3-4e5a-9024-47a50baad3e1/info.json,221,National Gallery of Art
"Plate Number 222. Stooping, lifting a water jar to head and turning",https://api.nga.gov/iiif/aaa5bcec-6d1a-4f0c-8e71-08b41b084a58/info.json,222,National Gallery of Art
"Plate Number 223. Stooping, lifting a basin, wiping it and turning",https://api.nga.gov/iiif/2368e51e-b403-403b-852b-f2d8eeeba2ac/info.json,223,National Gallery of Art
"Plate Number 227. Lifting a cloth from the ground, placing it around shoulder and turning",https://api.nga.gov/iiif/fac06005-33ac-45e1-9ae4-d50105cee78f/info.json,227,National Gallery of Art
Plate Number 228. Turning and lifting a water jar from the ground,https://api.nga.gov/iiif/af0fbe77-55ca-4a76-ab99-2584dc1c1e2f/info.json,228,National Gallery of Art
Plate Number 229. Placing a basket on the ground and turning,https://api.nga.gov/iiif/da60dc1c-5d5f-49f0-a835-10660440d098/info.json,229,National Gallery of Art
Plate Number 230. Lifting a 30-lb. basket from ground to head and turning,https://api.nga.gov/iiif/e00e798d-0487-4ed6-9f7b-6c019c1396d2/info.json,230,National Gallery of Art
Plate Number 231. Stooping to arrange train and turning,https://api.nga.gov/iiif/7b791d02-dc2b-4a07-b280-2b0eab80b807/info.json,231,National Gallery of Art
Plate Number 232. Stooping to lift train and turning,https://api.nga.gov/iiif/1f6c8e16-84f1-4266-8157-3d682a2773a9/info.json,232,National Gallery of Art
"Plate Number 233. Lifting shawl, putting it around shoulders and turning",https://api.nga.gov/iiif/e5ffc37b-1d65-419f-8c07-5689424e210d/info.json,233,National Gallery of Art
Plate Number 234. Lifting and emptying a basin of water and turning,https://api.nga.gov/iiif/e3c45b8c-b176-4cbb-9283-91e482ca495c/info.json,234,National Gallery of Art
Plate Number 236. Placing chair and sitting down,https://api.nga.gov/iiif/36b259e3-40ef-4859-93fa-11e838b753cc/info.json,236,National Gallery of Art
Plate Number 237. Sitting down on a chair and opening a fan,https://api.nga.gov/iiif/57361785-1bae-4426-b6d1-7dfa99b59f3d/info.json,237,National Gallery of Art
"Plate Number 239. One woman standing, another sitting and crossing legs",https://api.nga.gov/iiif/2eedfcc3-aefa-4b26-a174-7387c0e40643/info.json,239,National Gallery of Art
Plate Number 240. Sitting and flirting a fan,https://api.nga.gov/iiif/4c8530d6-5c87-4515-83c4-d38f2f762a7b/info.json,240,National Gallery of Art
"Plate Number 241. Placing a chair, sitting and reading",https://api.nga.gov/iiif/e8c7b871-860b-4268-9243-9c8e8d84c2c3/info.json,241,National Gallery of Art
"Plate Number 242. Placing chair, sitting and flirting a fan",https://api.nga.gov/iiif/de8c480f-59b8-49fd-a62a-26ca6d8be355/info.json,242,National Gallery of Art
"Plate Number 243. Placing a chair and sitting, parasol in left hand",https://api.nga.gov/iiif/b6ea96b1-0c98-4dc6-9420-cd699742c9f0/info.json,243,National Gallery of Art
"Plate Number 244. Sitting, crossing legs and filling a goblet from a pitcher",https://api.nga.gov/iiif/6d9aa526-2695-4a42-a679-3a7bcea649db/info.json,244,National Gallery of Art
"Plate Number 245. Two models, turning around, sitting on the ground",https://api.nga.gov/iiif/a2648409-12ea-405c-9ddc-228bdd9dc6e6/info.json,245,National Gallery of Art
"Plate Number 246. Placing chair, sitting and flirting a fan",https://api.nga.gov/iiif/e6fd556e-bd9c-4474-9cd2-59e05af107aa/info.json,246,National Gallery of Art
Plate Number 248. Sitting down on the ground,https://api.nga.gov/iiif/3c5b4a44-4514-4544-86fb-81019a73d81a/info.json,248,National Gallery of Art
Plate Number 249. Rising from chair,https://api.nga.gov/iiif/8feb1e1d-6ec1-49f8-ac21-df5a89a34ffe/info.json,249,National Gallery of Art
"Plate Number 250. Rising from chair, stooping and lifting handkerchief",https://api.nga.gov/iiif/046a4c4e-606a-47c5-ac5d-603d8b4ef397/info.json,250,National Gallery of Art
Plate Number 251. Kneeling on left knee with a basket in left hand and rising,https://api.nga.gov/iiif/4a9ed81a-d75a-4af0-8dc6-ca02f5e2f181/info.json,251,National Gallery of Art
Plate Number 252. Kneeling on right knee and scrubbing the floor,https://api.nga.gov/iiif/d074b267-80e5-4811-b752-169a4fbfc0a3/info.json,252,National Gallery of Art
Plate Number 253. Kneeling; elbows on chair and hands clasped,https://api.nga.gov/iiif/6e45f581-67ea-4359-a3ed-0cd8deb16b1a/info.json,253,National Gallery of Art
Plate Number 256. Lying on the ground and reading,https://api.nga.gov/iiif/20dda298-da23-45ae-855a-4deeacb612e8/info.json,256,National Gallery of Art
Plate Number 257. Lying on the ground,https://api.nga.gov/iiif/0a4d80d4-4838-42b3-8a54-2e1c74fa49c8/info.json,257,National Gallery of Art
Plate Number 258. Arising from the ground and walking off,https://api.nga.gov/iiif/b674d8c3-91cf-48a4-809e-f55cbef3779a/info.json,258,National Gallery of Art
Plate Number 259. Lying on a couch and turning over on side,https://api.nga.gov/iiif/1d44a1e8-f236-48a7-ace6-091ab4d2e804/info.json,259,National Gallery of Art
Plate Number 260. Arising from couch and stretching arms,https://api.nga.gov/iiif/87f18a54-fe36-4658-ab90-d72c85d6b88f/info.json,260,National Gallery of Art
Plate Number 261. Getting into hammock,https://api.nga.gov/iiif/06fddc64-5868-4376-bade-347036211af8/info.json,261,National Gallery of Art
Plate Number 263. Getting into bed,https://api.nga.gov/iiif/5bba8ff9-85ea-4eae-aa6a-62d80b749d90/info.json,263,National Gallery of Art
Plate Number 265. Getting out of bed,https://api.nga.gov/iiif/b4ea81a0-d6a7-4b31-9932-d843262cccc5/info.json,265,National Gallery of Art
Plate Number 266. Turning and changing position while on the ground,https://api.nga.gov/iiif/e03d9582-dfb6-41d8-a818-909416ede98b/info.json,266,National Gallery of Art
Plate Number 267. Turning and changing position while on the ground,https://api.nga.gov/iiif/7f7165d9-fccc-4759-befa-0d3d961a44ce/info.json,267,National Gallery of Art
Plate Number 268. Arising from the ground,https://api.nga.gov/iiif/4b284262-ab9d-457b-9fe4-e61eafca9a37/info.json,268,National Gallery of Art
Plate Number 269. Arising from the ground with a newspaper in left hand,https://api.nga.gov/iiif/9a870bb1-9441-4e30-b90b-05f4e99d5f57/info.json,269,National Gallery of Art
Plate Number 270. Arising from the ground with a pamphlet in left hand,https://api.nga.gov/iiif/8493ba7a-2bcb-47d0-9e0b-c829fb7b2eb4/info.json,270,National Gallery of Art
Plate Number 271. Arising from the ground with a paper in left hand,https://api.nga.gov/iiif/b7688d5e-924e-4fec-b254-56a3e14e1d57/info.json,271,National Gallery of Art
Plate Number 272. Stumbling and falling on the ground,https://api.nga.gov/iiif/aa4aed65-9f23-4b14-a5e5-bef5d49041b4/info.json,272,National Gallery of Art
"Plate Number 273. Baseball, pitching",https://api.nga.gov/iiif/9c677c8b-fd34-4c1c-9dce-1e98d91e4bf0/info.json,273,National Gallery of Art
"Plate Number 274. Baseball, batting",https://api.nga.gov/iiif/6cf909fd-9489-4225-8c4f-1f9422339503/info.json,274,National Gallery of Art
"Plate Number 275. Baseball, batting a low ball",https://api.nga.gov/iiif/f6bfec02-d95a-4d53-9f7e-e99f165d4376/info.json,275,National Gallery of Art
"Plate Number 276. Baseball, batting",https://api.nga.gov/iiif/47520d1d-6d2d-45fc-9280-ea0d30555da9/info.json,276,National Gallery of Art
"Plate Number 277. Baseball, batting",https://api.nga.gov/iiif/02b1d102-2798-404c-8944-f9f9700d1c51/info.json,277,National Gallery of Art
"Plate Number 278. Baseball, batting",https://api.nga.gov/iiif/af4c6b34-6569-4eee-b9ad-0059d51bcc17/info.json,278,National Gallery of Art
"Plate Number 279. Baseball, batting",https://api.nga.gov/iiif/8250c530-63c5-44ed-a90c-6c1a324b1f1d/info.json,279,National Gallery of Art
"Plate Number 280. Baseball, catching",https://api.nga.gov/iiif/959b8d17-b0b3-4936-a966-1a74a22b9f95/info.json,280,National Gallery of Art
"Plate Number 281. Baseball, catching and throwing",https://api.nga.gov/iiif/03306477-d2f0-478b-a781-e1b4c732789c/info.json,281,National Gallery of Art
"Plate Number 282. Baseball, catching and throwing",https://api.nga.gov/iiif/8f6a6aa0-b0a4-4e68-bd90-506b6874a4cc/info.json,282,National Gallery of Art
"Plate Number 283. Baseball, catching and throwing",https://api.nga.gov/iiif/ff1d12f2-2b9f-418a-becd-2ee27e7fd5d1/info.json,283,National Gallery of Art
"Plate Number 284. Baseball, catching and throwing",https://api.nga.gov/iiif/f49f5fdc-8e89-4dfa-bce8-2ca84085a8e8/info.json,284,National Gallery of Art
"Plate Number 285. Baseball, catching and throwing",https://api.nga.gov/iiif/bc47517c-440d-49af-99a3-beb22b55f35c/info.json,285,National Gallery of Art
"Plate Number 286. Baseball, throwing",https://api.nga.gov/iiif/c81bd0d7-cd09-4ae6-92e6-b55d270058fe/info.json,286,National Gallery of Art
"Plate Number 287. Baseball, running and picking up the ball",https://api.nga.gov/iiif/b824a44e-2668-446d-a121-f7c5ce57a543/info.json,287,National Gallery of Art
"Plate Number 288. Baseball, error",https://api.nga.gov/iiif/23ceb0ef-b3c0-4abd-b59f-b26a40c7e588/info.json,288,National Gallery of Art
"Plate Number 289. Cricket, round-arm bowling",https://api.nga.gov/iiif/fd126876-afc2-439d-a203-43ca097f0998/info.json,289,National Gallery of Art
"Plate Number 290. Cricket, overarm bowling",https://api.nga.gov/iiif/259abaa0-19a5-4648-ac50-ef2c601842a6/info.json,290,National Gallery of Art
"Plate Number 291. Cricket, batting and drive",https://api.nga.gov/iiif/151f5ffe-88f8-493c-883d-b4f7464d8974/info.json,291,National Gallery of Art
"Plate Number 292. Cricket, batting and back cut",https://api.nga.gov/iiif/e1649348-21d8-443d-875c-1ce773781b78/info.json,292,National Gallery of Art
"Plate Number 293. Cricket, batting and back cut",https://api.nga.gov/iiif/35f72dc3-2006-45b4-8587-344e635b58c2/info.json,293,National Gallery of Art
"Plate Number 294. Lawn tennis, serving",https://api.nga.gov/iiif/ee8598c8-987b-46eb-bed4-7b8e3766310e/info.json,294,National Gallery of Art
Plate Number 295. Lawn tennis,https://api.nga.gov/iiif/a69a66f7-37e2-4f96-98ff-cb6b1b08602f/info.json,295,National Gallery of Art
Plate Number 296. Lawn tennis,https://api.nga.gov/iiif/5dc3748e-e3b4-4689-ad62-711d1751fc30/info.json,296,National Gallery of Art
Plate Number 297. Lawn tennis,https://api.nga.gov/iiif/c9dee40c-5f1b-4b7f-a698-689569eecc01/info.json,297,National Gallery of Art
Plate Number 298. Lawn tennis,https://api.nga.gov/iiif/5e7121d6-0fb8-46cf-857b-ec49c9f64dbe/info.json,298,National Gallery of Art
Plate Number 299. Playing with a ball,https://api.nga.gov/iiif/08d0b868-998d-437f-bb87-783dea3a8811/info.json,299,National Gallery of Art
"Plate Number 300. Football, drop kick",https://api.nga.gov/iiif/81db5ede-aae8-4caf-a267-1824dad8481a/info.json,300,National Gallery of Art
"Plate Number 301. Football, punt",https://api.nga.gov/iiif/c289edda-94bf-41ed-a34a-8be335b7eaad/info.json,301,National Gallery of Art
Plate Number 302. Picking up a ball and throwing it,https://api.nga.gov/iiif/676118d5-e2fd-4437-abb2-6d18ac0ad15b/info.json,302,National Gallery of Art
Plate Number 303. Picking up a ball and throwing it,https://api.nga.gov/iiif/9e9953e5-ae4b-4371-86d1-688d9a9ab45c/info.json,303,National Gallery of Art
Plate Number 305. Picking up a ball and throwing it,https://api.nga.gov/iiif/99ab3ecc-54c6-4397-8aa3-4fc04bf696df/info.json,305,National Gallery of Art
Plate Number 306. Picking up a ball and throwing it,https://api.nga.gov/iiif/1f820ee3-ea18-4786-9e13-d860bd755bff/info.json,306,National Gallery of Art
Plate Number 307. Throwing an iron disk,https://api.nga.gov/iiif/fda3e984-c874-4b7d-8904-84cc46b3c7e2/info.json,307,National Gallery of Art
Plate Number 308. Throwing the hammer,https://api.nga.gov/iiif/31d83e56-c737-4b67-8a96-bc6696fc3287/info.json,308,National Gallery of Art
Plate Number 309. Throwing the hammer,https://api.nga.gov/iiif/5bd6608a-5511-4fc0-af78-92a264804fb8/info.json,309,National Gallery of Art
Plate Number 310. Putting the shot,https://api.nga.gov/iiif/5abc5380-34ba-4791-aaa1-dd5ecc0cbd6b/info.json,310,National Gallery of Art
Plate Number 311. Heaving a 75-lb. rock,https://api.nga.gov/iiif/6de84e5a-34aa-40c0-af1b-3e06678ad1ad/info.json,311,National Gallery of Art
Plate Number 312. Heaving a 75-lb. rock,https://api.nga.gov/iiif/2dd20a13-ab3c-4c8a-9c98-75c3a6568c37/info.json,312,National Gallery of Art
Plate Number 313. Heaving a 20-lb. rock,https://api.nga.gov/iiif/ce89e305-5422-4593-86ff-12937883fae4/info.json,313,National Gallery of Art
Plate Number 314. Heaving a 20-lb. rock,https://api.nga.gov/iiif/b4f52938-31f2-4624-9d08-dd64c7882212/info.json,314,National Gallery of Art
Plate Number 315. Heaving a 20-lb. rock,https://api.nga.gov/iiif/3db67839-fd66-43d1-88d6-55a8e7094736/info.json,315,National Gallery of Art
Plate Number 316. Heaving a 20-lb. rock,https://api.nga.gov/iiif/1b5e86a8-dc65-416e-9f27-0bce939833a4/info.json,316,National Gallery of Art
Plate Number 317. Lifting and heaving a 75-lb. rock,https://api.nga.gov/iiif/eb6957cc-5fbf-44cf-a072-8eb1bed6f43f/info.json,317,National Gallery of Art
Plate Number 318. Lifting a 75-lb. rock,https://api.nga.gov/iiif/d1cdeb05-934c-4190-9578-baf34e6afb57/info.json,318,National Gallery of Art
Plate Number 319. Heaving a 75-lb. rock,https://api.nga.gov/iiif/b4598deb-64dc-4571-ba2a-34119d18c79b/info.json,319,National Gallery of Art
Plate Number 320. Lifting a 50-lb. dumbbell,https://api.nga.gov/iiif/b6e62b26-3722-4825-bf59-549c3bbe4a44/info.json,320,National Gallery of Art
Plate Number 321.  A: Lifting a 50-lb. dumbbell. B: Posing,https://api.nga.gov/iiif/2a8efcf8-6fa4-4573-ae4e-065e8fb7b148/info.json,321,National Gallery of Art
Plate Number 322. Lifting and letting down two 50-lb. dumbbells,https://api.nga.gov/iiif/56843dcc-da8d-4c7b-bb9a-202bb19cfe68/info.json,322,National Gallery of Art
Plate Number 323. Lifting and letting down two 50-lb. dumbbells,https://api.nga.gov/iiif/e24c4bb6-8436-454c-bb73-6c5c0f650cb5/info.json,323,National Gallery of Art
Plate Number 324. Curling a 50-lb. dumbbell,https://api.nga.gov/iiif/b2e55cef-32a5-4334-baf9-6441a13e944d/info.json,324,National Gallery of Art
Plate Number 325. Lifting and holding two 50-lb. dumbbells,https://api.nga.gov/iiif/1b6e0e7b-f3a7-46b4-95f7-ce29e5f8c17e/info.json,325,National Gallery of Art
Plate Number 326. Lifting a 50-lb. dumbbell at arm's length,https://api.nga.gov/iiif/d0f7a1bc-939b-4498-97e4-2257aefc401b/info.json,326,National Gallery of Art
Plate Number 327. Rowing,https://api.nga.gov/iiif/ee77723c-ecc4-4127-9726-5b8041b839d0/info.json,327,National Gallery of Art
Plate Number 328. Rowing,https://api.nga.gov/iiif/3834b6ba-7d2f-4e01-9947-5ce291f42fec/info.json,328,National Gallery of Art
Plate Number 329. Boxing,https://api.nga.gov/iiif/68864cd1-e127-4315-bfbb-0c152c0c93c7/info.json,329,National Gallery of Art
"Plate Number 330. Boxing, cross-counter",https://api.nga.gov/iiif/363f1713-5932-4096-8409-e796c283dfc8/info.json,330,National Gallery of Art
"Plate Number 331. Boxing, stop for cross-buttocks",https://api.nga.gov/iiif/c12c0a3f-e815-432d-a395-ba3c32e8c994/info.json,331,National Gallery of Art
"Plate Number 332. Boxing, cross-buttocks",https://api.nga.gov/iiif/c9379623-51e9-4e36-9e43-03717b19fad4/info.json,332,National Gallery of Art
"Plate Number 333. Boxing, one man knocking the other one down",https://api.nga.gov/iiif/3f5d09d8-854f-4c22-ad3d-fc846056910d/info.json,333,National Gallery of Art
Plate Number 334. Boxing with gloves,https://api.nga.gov/iiif/ec45cade-e1d3-481b-8266-9cd070ab84f7/info.json,334,National Gallery of Art
Plate Number 335. Boxing with gloves,https://api.nga.gov/iiif/7abfd533-934e-4777-9bd7-5b8fba8f79cb/info.json,335,National Gallery of Art
"Plate Number 336. Boxing, open hand",https://api.nga.gov/iiif/fd715325-d636-4b8e-a212-aa1faf0ebee9/info.json,336,National Gallery of Art
"Plate Number 337. Boxing, open hand",https://api.nga.gov/iiif/6a81626f-5cd1-4784-8edc-0f72c7a00c76/info.json,337,National Gallery of Art
"Plate Number 338. Boxing, open hand",https://api.nga.gov/iiif/80a5b992-8762-4448-894e-07b3c74ea338/info.json,338,National Gallery of Art
"Plate Number 339. Boxing, open hand",https://api.nga.gov/iiif/8b01d4cd-34ed-4c74-aed2-d2dc7f2cb8e2/info.json,339,National Gallery of Art
"Plate Number 340. Boxing, open hand",https://api.nga.gov/iiif/0a13abd5-388b-42ee-883a-7f4c4542b87f/info.json,340,National Gallery of Art
"Plate Number 341. Boxing, open hand",https://api.nga.gov/iiif/1430fb68-e871-4785-bb29-42dad25a522a/info.json,341,National Gallery of Art
"Plate Number 342. Boxing, open hand",https://api.nga.gov/iiif/0b85b00d-b1f4-4906-9d14-4fb2b4e1877c/info.json,342,National Gallery of Art
Plate Number 343. Striking a blow with left hand,https://api.nga.gov/iiif/d99dca22-0020-4999-b794-785672e73305/info.json,343,National Gallery of Art
Plate Number 344. Striking a blow with right hand,https://api.nga.gov/iiif/e15eeb8e-3726-48b6-b644-5ff0f02e18dd/info.json,344,National Gallery of Art
"Plate Number 345. Wrestling, lock",https://api.nga.gov/iiif/d1e8760d-2379-4891-9717-0029d6907f48/info.json,345,National Gallery of Art
"Plate Number 346. Wrestling, lock",https://api.nga.gov/iiif/5c775208-a2e8-46c6-8f0e-790b3ee6fb65/info.json,346,National Gallery of Art
"Plate Number 347. Wrestling, Graeco-Roman",https://api.nga.gov/iiif/7c78daaf-5eda-45d0-bf05-9800cd35713c/info.json,347,National Gallery of Art
"Plate Number 348. Wrestling, Graeco-Roman",https://api.nga.gov/iiif/fe4ef4db-ac63-4f0c-8f89-72d4f28a418f/info.json,348,National Gallery of Art
Plate Number 349. Fencing,https://api.nga.gov/iiif/da09b8b0-5800-495d-90e3-86cd82bbda5d/info.json,349,National Gallery of Art
Plate Number 350. Fencing,https://api.nga.gov/iiif/2f66872b-382a-4a11-97a7-59c6d617a41d/info.json,350,National Gallery of Art
"Plate Number 351. ""Fix"" and ""unfix bayonets""",https://api.nga.gov/iiif/2aa6afe9-d436-4f54-8859-c89dae139e50/info.json,351,National Gallery of Art
"Plate Number 352. ""Shoulder,"" ""order"" and ""carry arms""",https://api.nga.gov/iiif/5389f70e-5d4f-4e21-8cd8-13d020074e82/info.json,352,National Gallery of Art
"Plate Number 353. ""Support arms"" and ""arms port""",https://api.nga.gov/iiif/6ca4c99d-8c5f-4dae-bb75-fc71aaa267b1/info.json,353,National Gallery of Art
"Plate Number 354. ""Carry arms,"" ""parade rest"" and ""trail arms""",https://api.nga.gov/iiif/301dd8f7-f16c-46a2-adc3-b4e67c61ba46/info.json,354,National Gallery of Art
"Plate Number 355. On guard, walking and turning around",https://api.nga.gov/iiif/01eef9b9-4400-4b9b-afe9-efd2940d1fce/info.json,355,National Gallery of Art
"Plate Number 356. Kneeling, firing and rising",https://api.nga.gov/iiif/e4e396af-31d6-468c-9ef7-8514c30aa882/info.json,356,National Gallery of Art
Plate Number 357. Lying prone and firing,https://api.nga.gov/iiif/d40326d3-e715-4151-a3ca-871b060f1892/info.json,357,National Gallery of Art
Plate Number 358. Lying on back and firing,https://api.nga.gov/iiif/d565668c-1427-46ff-a1df-b2f840bcb528/info.json,358,National Gallery of Art
Plate Number 359. Charging bayonet,https://api.nga.gov/iiif/372a1622-b8b5-4629-9ad1-484851a2c1f0/info.json,359,National Gallery of Art
Plate Number 360. Throwing a spear,https://api.nga.gov/iiif/1b4c690c-5400-4744-878a-14632771af9c/info.json,360,National Gallery of Art
Plate Number 361. Throwing a spear,https://api.nga.gov/iiif/c8e81a82-2d90-4c0f-b35d-b59bed0a10f6/info.json,361,National Gallery of Art
Plate Number 362. Back somersault,https://api.nga.gov/iiif/b956a7d5-8997-49fe-baa5-51a39d458152/info.json,362,National Gallery of Art
Plate Number 363. Running somersault,https://api.nga.gov/iiif/c09595bf-416b-4030-ba20-6b6542e421a2/info.json,363,National Gallery of Art
Plate Number 364. Handspring over a man's back,https://api.nga.gov/iiif/172217e7-e86a-420b-b14b-14bd740a800f/info.json,364,National Gallery of Art
"Plate Number 365. Head-spring, a flying pigeon interfering",https://api.nga.gov/iiif/59d16a84-791e-4ee6-a8a1-934c0347802b/info.json,365,National Gallery of Art
"Plate Number 366. Running, hitch and kick",https://api.nga.gov/iiif/f48d6f46-d5a7-4e20-8a97-3a9501c1236f/info.json,366,National Gallery of Art
Plate Number 368. Acrobat descending stairs on hands,https://api.nga.gov/iiif/0c515d6e-dd47-4f3b-88c3-3481fc788fc7/info.json,368,National Gallery of Art
Plate Number 369. First ballet action,https://api.nga.gov/iiif/9207f489-341e-469d-a259-0a06e55a77f4/info.json,369,National Gallery of Art
