Label,Image URI,Plate Number,Provider
Plate Number 42. Walking and pouring water from a pitcher,https://api.nga.gov/iiif/5bbe24cd-7fd1-4fc7-81c0-9ddb34ce0752/info.json,42,National Gallery of Art
"Plate Number 43. Walking, sprinkling water from a basin and turning around",https://api.nga.gov/iiif/e8c29dc6-0fea-44fe-bcd2-86be443b60d7/info.json,43,National Gallery of Art
Plate Number 44. Walking and taking off a hat,https://api.nga.gov/iiif/f2a25e1b-e9ca-4b94-bdf8-54d69c3d2574/info.json,44,National Gallery of Art
"Plate Number 45. Two women walking, meeting and partly turning",https://api.nga.gov/iiif/d4f63c26-28fe-499e-891b-38dbec717222/info.json,45,National Gallery of Art
"Plate Number 46. Walking, flirting a fan and turning around",https://api.nga.gov/iiif/3e3eb7d7-f293-47a4-b283-d67b18fee0d7/info.json,46,National Gallery of Art
Plate Number 47. Walking and turning around,https://api.nga.gov/iiif/30f0b8c0-6947-4827-ab5a-834c0b803a72/info.json,47,National Gallery of Art
Plate Number 48. Walking and turning around with a bouquet in both hands,https://api.nga.gov/iiif/b4f54fd7-5a0a-470b-8063-a5217f398c2e/info.json,48,National Gallery of Art
"Plate Number 49. Walking and turning around rapidly with a satchel in one hand, a cane in the other",https://api.nga.gov/iiif/9229a628-adb4-4a34-baef-beecd8eec7bf/info.json,49,National Gallery of Art
"Plate Number 50. Walking and turning around, carrying a bucket of water in left hand",https://api.nga.gov/iiif/a0bbc59f-721b-4bda-b7ec-614595324a9a/info.json,50,National Gallery of Art
"Plate Number 51. Walking, turning around and using a sprinkling pot",https://api.nga.gov/iiif/362b0e67-e48d-426d-a10a-7eaebd42fddd/info.json,51,National Gallery of Art
"Plate Number 52. Walking, carrying a child, turning around; another child holding on to the woman's dress",https://api.nga.gov/iiif/12953fdf-b5f6-45b6-91d5-27df0996b379/info.json,52,National Gallery of Art
"Plate Number 53. Walking, scattering flowers and turning around",https://api.nga.gov/iiif/31fd900f-e2c7-43e3-a3b8-449c994a23d4/info.json,53,National Gallery of Art
Plate Number 54. Two women walking arm in arm and turning around; one flirting a fan,https://api.nga.gov/iiif/076673b6-38c2-4da5-8280-fead0c5eaf7b/info.json,54,National Gallery of Art
